город;район;промо;стоимость доставки;мин ст-ть промо;;;;;;;;;;
Белград;Novi Beograd;False;500;0;;;1;Novi Beograd;;"(""1""";", ""Novi Beograd""),";;"(""1""";", ""Novi Beograd""),"
Белград;Voždovac;False;500;0;;;4;Voždovac;;"(""4""";", ""Voždovac""),";;"(""4""";", ""Voždovac""),"
Белград;Zvezdara;False;500;0;;;5;Zvezdara;;"(""5""";", ""Zvezdara""),";;"(""5""";", ""Zvezdara""),"
Белград;Zemun;False;500;0;;;6;Zemun;;"(""6""";", ""Zemun""),";;"(""6""";", ""Zemun""),"
Белград;Palilula;False;250;0;;;7;Palilula;;"(""7""";", ""Palilula""),";;"(""7""";", ""Palilula""),"
Белград;Stari Grad;True;250;2500;;;15;Stari Grad;;"(""15""";", ""Stari Grad""),";;"(""15""";", ""Stari Grad""),"
Белград;Dorćol;True;250;2500;;;16;Dorćol;;"(""16""";", ""Dorćol""),";;"(""16""";", ""Dorćol""),"
Белград;Belgrad_na_vodi;True;250;2500;;;17;Belgrad_na_vodi;;"(""17""";", ""Belgrad_na_vodi""),";;"(""17""";", ""Belgrad_na_vodi""),"
Белград;Savski_Venac;True;500;0;;;18;Savski_Venac;;"(""18""";", ""Savski_Venac""),";;"(""18""";", ""Savski_Venac""),"
Белград;другое;False;0;0;;;;;;;;;;
;;;;;;;;"(""";;;;;;
;;;;;;;;"""";;;;;;
;;;;;;;;"""),";;;;;;
;;;;;;;;, ;;;;;;
